Name,long,lat,date,intensity,type,Country,daten
Mat Lam Tam,107.3787448,-6.9547303,5/15/2023,7,hurricane,Indonesia,2023-05-15 00:00:00
Fixflex,115.667208,37.039991,6/3/2023,10,hurricane,China,2023-06-03 00:00:00
Sonair,124.1810057,-9.9422458,8/7/2023,9,hurricane,Indonesia,2023-08-07 00:00:00
Pannier,101.5395705,2.9864896,10/2/2022,6,tornado,Malaysia,2022-10-02 00:00:00
Biodex,36.5715924,5.7806339,8/17/2023,1,earthquake,Ethiopia,2023-08-17 00:00:00
Lotstring,23.697829,3.8164718,4/21/2023,3,flood,Democratic Republic of the Congo,2023-04-21 00:00:00
Tresom,115.062214,28.22335,4/14/2023,5,flood,China,2023-04-14 00:00:00
Regrant,113.1916737,23.9563274,10/26/2022,2,hurricane,China,2022-10-26 00:00:00
Sub-Ex,121.0774147,14.7569624,5/9/2023,4,hurricane,Philippines,2023-05-09 00:00:00
Flexidy,116.7810211,40.2251411,7/23/2023,2,tornado,China,2023-07-23 00:00:00
Stronghold,35.070676,32.225262,2/3/2023,3,earthquake,Palestinian Territories,2023-02-03 00:00:00
Stronghold,112.4023244,-7.1259703,5/3/2023,9,tornado,Indonesia,2023-05-03 00:00:00
Gembucket,-60.6743215,-32.947692,2/21/2023,6,flood,Argentina,2023-02-21 00:00:00
Veribet,119.3831026,-5.3383734,12/30/2022,3,flood,Indonesia,2022-12-30 00:00:00
Domainer,105.093908,24.489685,12/7/2022,3,flood,China,2022-12-07 00:00:00
Keylex,-6.2823331,57.013064,11/26/2022,2,earthquake,United Kingdom,2022-11-26 00:00:00
Keylex,-40.2271243,-12.5477492,2/1/2023,1,earthquake,Na,2023-02-01 00:00:00
Stringtough,125.2789544,24.8051928,8/14/2023,8,earthquake,Na,2023-08-14 00:00:00
Ventosanzap,43.70228,15.61576,1/5/2023,10,flood,Yemen,2023-01-05 00:00:00
Latlux,52.9759299,40.0336591,11/15/2022,4,tornado,Na,2022-11-15 00:00:00
Subin,66.66409,35.48936,7/9/2023,3,hurricane,Na,2023-07-09 00:00:00
Viva,-6.8028472,61.9952327,2/17/2023,9,earthquake,Na,2023-02-17 00:00:00
Biodex,112.0118669,-8.0475926,9/27/2023,8,hurricane,Indonesia,2023-09-27 00:00:00
Sonsing,-103.2605763,25.7784224,5/1/2023,3,earthquake,Mexico,2023-05-01 00:00:00
Regrant,22.71667,38.4,1/24/2023,6,hurricane,Greece,2023-01-24 00:00:00
Gembucket,-107.05128,51.50008,7/16/2023,7,flood,Canada,2023-07-16 00:00:00
Sonsing,-45.4874873,-22.8450713,5/2/2023,3,tornado,Brazil,2023-05-02 00:00:00
Quo Lux,2.2159905,44.7535743,6/14/2023,3,earthquake,France,2023-06-14 00:00:00
Zontrax,-87.5699999,37.97,1/31/2023,4,flood,United States,2023-01-31 00:00:00
Zaam-Dox,-80.4256976,7.9076232,3/26/2023,2,earthquake,Panama,2023-03-26 00:00:00
Quo Lux,138.7601651,36.1113287,8/3/2023,5,earthquake,Japan,2023-08-03 00:00:00
Konklab,-43.4150073,-20.3652719,6/18/2023,6,earthquake,Brazil,2023-06-18 00:00:00
Ronstring,-86.550039,41.879109,12/13/2022,10,earthquake,United States,2022-12-13 00:00:00
Y-find,12.87013,56.658933,7/11/2023,1,earthquake,Sweden,2023-07-11 00:00:00
Konklux,110.8171082,-6.4712737,10/20/2022,1,tornado,Indonesia,2022-10-20 00:00:00
Tempsoft,112.7420274,-8.0034823,9/4/2023,2,earthquake,Indonesia,2023-09-04 00:00:00
Wrapsafe,-48.5637543,-22.472994,11/14/2022,4,flood,Brazil,2022-11-14 00:00:00
Zontrax,113.454975,22.884636,10/1/2022,10,hurricane,China,2022-10-01 00:00:00
Span,140.3089223,38.4507739,5/10/2023,8,flood,Japan,2023-05-10 00:00:00
Voyatouch,128.1744945,41.387384,7/10/2023,1,tornado,North Korea,2023-07-10 00:00:00
Mat Lam Tam,106.5024344,-6.1177509,6/15/2023,1,earthquake,Indonesia,2023-06-15 00:00:00
Hatity,17.016667,21.333333,10/18/2022,3,hurricane,Chad,2022-10-18 00:00:00
Sonsing,121.341718,13.952977,8/20/2023,9,flood,Philippines,2023-08-20 00:00:00
Cookley,-75.8704611,-12.3446835,1/8/2023,6,tornado,Peru,2023-01-08 00:00:00
Tampflex,-73.9830029,10.8698035,11/11/2022,6,hurricane,Colombia,2022-11-11 00:00:00
Sonsing,61.4221758,57.3665832,8/15/2023,3,flood,Russia,2023-08-15 00:00:00
Home Ing,-46.9343777,-22.363303,7/9/2023,6,flood,Brazil,2023-07-09 00:00:00
Ventosanzap,-80.8488498,41.2420649,7/29/2023,8,hurricane,United States,2023-07-29 00:00:00
Pannier,-46.8925845,-21.8324773,4/19/2023,3,tornado,Brazil,2023-04-19 00:00:00
Sonsing,-42.4724578,-4.6722064,12/30/2022,2,hurricane,Brazil,2022-12-30 00:00:00
Daltfresh,129.96471,62.34824,2/12/2023,4,flood,Russia,2023-02-12 00:00:00
It,-58.4754447,-34.5430068,1/16/2023,1,flood,Argentina,2023-01-16 00:00:00
Biodex,18.1203419,59.37407,6/2/2023,1,hurricane,Sweden,2023-06-02 00:00:00
Y-Solowarm,-60.6961061,-32.9377962,10/25/2022,3,hurricane,Argentina,2022-10-25 00:00:00
Tampflex,108.758458,19.241239,11/29/2022,6,flood,China,2022-11-29 00:00:00
Fintone,58.0384692,36.4056598,7/2/2023,6,earthquake,Iran,2023-07-02 00:00:00
Keylex,149.3023702,6.6885285,5/15/2023,3,tornado,Federated States of Micronesia,2023-05-15 00:00:00
Holdlamis,120.738172,27.804365,11/16/2022,9,flood,China,2022-11-16 00:00:00
Stim,-8.4574423,41.5217223,5/13/2023,2,flood,Portugal,2023-05-13 00:00:00
Bitchip,124.9120662,-9.101629,4/28/2023,4,flood,Indonesia,2023-04-28 00:00:00
Namfix,15.5284132,51.9653089,11/20/2022,9,tornado,Poland,2022-11-20 00:00:00
Namfix,17.2804413,62.1964266,2/3/2023,9,hurricane,Sweden,2023-02-03 00:00:00
Andalax,107.687866,29.758227,2/28/2023,2,hurricane,China,2023-02-28 00:00:00
Job,107.4055814,10.5353285,4/25/2023,4,flood,Vietnam,2023-04-25 00:00:00
Daltfresh,123.3996176,9.8769686,5/10/2023,7,flood,Philippines,2023-05-10 00:00:00
Sonsing,61.8643252,37.6092461,10/24/2022,2,tornado,Turkmenistan,2022-10-24 00:00:00
Bigtax,21.8376406,49.9454719,12/1/2022,3,hurricane,Poland,2022-12-01 00:00:00
Span,114.152183,38.02365,1/12/2023,1,earthquake,China,2023-01-12 00:00:00
Treeflex,67.1894488,41.6183527,9/2/2023,7,hurricane,Kazakhstan,2023-09-02 00:00:00
Duobam,121.2786716,14.5165603,6/5/2023,6,hurricane,Philippines,2023-06-05 00:00:00
Viva,30.5550816,59.79769,4/22/2023,1,tornado,Russia,2023-04-22 00:00:00
Zaam-Dox,-5.7415013,41.5120612,7/21/2023,7,tornado,Spain,2023-07-21 00:00:00
Asoka,15.959277,51.9611016,1/10/2023,5,tornado,Poland,2023-01-10 00:00:00
Stim,101.5134398,-2.9863926,8/6/2023,2,hurricane,Indonesia,2023-08-06 00:00:00
Flowdesk,22.0160467,40.9271303,6/12/2023,2,flood,Greece,2023-06-12 00:00:00
Tin,106.726099,39.505925,12/10/2022,7,flood,China,2022-12-10 00:00:00
Lotstring,-38.0005207,-11.1851883,12/14/2022,3,earthquake,Brazil,2022-12-14 00:00:00
Konklab,102.6298251,14.9649534,12/17/2022,8,flood,Thailand,2022-12-17 00:00:00
Keylex,174.9497836,-37.1954967,4/7/2023,1,hurricane,New Zealand,2023-04-07 00:00:00
Treeflex,124.58333,7.05,11/15/2022,5,tornado,Philippines,2022-11-15 00:00:00
Otcom,115.75,-3.283333,11/26/2022,7,hurricane,Indonesia,2022-11-26 00:00:00
Quo Lux,125.743983,8.47834,12/3/2022,7,earthquake,Philippines,2022-12-03 00:00:00
Tres-Zap,102.2261837,-1.2457596,3/6/2023,4,tornado,Indonesia,2023-03-06 00:00:00
Vagram,35.072538,32.370069,11/10/2022,8,hurricane,Palestinian Territories,2022-11-10 00:00:00
Home Ing,30.3403569,60.0456385,9/23/2023,6,hurricane,Russia,2023-09-23 00:00:00
Andalax,6.2747734,4.9211621,1/5/2023,1,tornado,Nigeria,2023-01-05 00:00:00
Rank,119.382381,31.717564,9/1/2023,5,tornado,China,2023-09-01 00:00:00
Biodex,-117.7659237,33.6682421,9/26/2023,5,tornado,United States,2023-09-26 00:00:00
Bamity,23.3261801,-34.0896763,1/31/2023,2,tornado,South Africa,2023-01-31 00:00:00
Stringtough,12.4859801,59.6806933,2/28/2023,9,hurricane,Sweden,2023-02-28 00:00:00
Cardguard,20.5308214,52.7602576,10/3/2022,3,hurricane,Poland,2022-10-03 00:00:00
Latlux,30.12389,59.4225,1/22/2023,3,hurricane,Russia,2023-01-22 00:00:00
Redhold,113.081508,22.579117,8/28/2023,9,tornado,China,2023-08-28 00:00:00
Zamit,16.847761,46.8442339,5/29/2023,2,flood,Hungary,2023-05-29 00:00:00
Job,0.5957159,49.0871049,6/22/2023,5,earthquake,France,2023-06-22 00:00:00
Asoka,-66.8424753,-29.4072828,9/28/2023,7,earthquake,Argentina,2023-09-28 00:00:00
Stim,-8.768226,40.562696,2/15/2023,5,earthquake,Portugal,2023-02-15 00:00:00
Bitchip,-88.8383036,15.026492,9/16/2023,8,tornado,Honduras,2023-09-16 00:00:00
Tampflex,-83.3155257,42.4395419,7/14/2023,7,hurricane,United States,2023-07-14 00:00:00
Zaam-Dox,6.624795,52.3517146,10/3/2022,3,earthquake,Netherlands,2022-10-03 00:00:00
Latlux,114.9416819,38.776362,1/10/2023,9,tornado,China,2023-01-10 00:00:00
Job,69.0254926,39.8772715,3/17/2023,8,earthquake,Tajikistan,2023-03-17 00:00:00
Transcof,113.39277,22.517585,5/3/2023,5,flood,China,2023-05-03 00:00:00
Rank,113.8526,-8.0299,12/25/2022,10,tornado,Indonesia,2022-12-25 00:00:00
Job,114.797389,36.266505,11/12/2022,4,tornado,China,2022-11-12 00:00:00
Test,-81.276223,43.003999,1/12/2024,3,tornado,Canada,2024-01-12 00:00:00
WEC,69.69,69.67,1/13/2024,5,tornado,Russia,
